,latitude,longitude,job_level,age,tenure_years,position_tenure,time_since_joining_team,promotion_delay_months,internal_job_applications,manager_relationship,engagement,work_life_balance,peer_recognition_count,awards_received,workload,overtime_hours,average_weekly_hours,client_escalation_count,salary_percentile,compensation_gap,distance_to_office_km,work_flexibility_score,remote_work_eligibility,skill_criticality_score,knowledge_risk_score,dependencies,client_criticality,specialised_skills,critical_project_owner,replacement_time_months,performance_rating,attrition_label,impact_label,attrition_risk_score,impact_score,Keepz
engagement,0.05,-0.01,0.0,-0.15,0.29,0.22,0.23,0.2,0.13,0.82,1.0,0.36,0.31,-0.11,-0.27,-0.28,-0.28,-0.16,-0.09,-0.12,0.11,0.11,-0.01,-0.09,-0.02,0.06,-0.04,-0.11,-0.16,-0.07,0.02,-0.39,-0.03,-0.49,-0.05,-0.22
work_life_balance,-0.09,-0.09,0.11,-0.13,0.01,0.18,0.12,0.15,0.09,-0.03,0.36,1.0,0.36,-0.1,-0.71,-0.91,-0.91,-0.45,0.07,0.08,0.07,0.07,-0.01,-0.25,0.08,0.05,0.04,-0.2,-0.01,-0.08,-0.19,-0.58,-0.02,-0.74,-0.01,-0.4
peer_recognition_count,0.06,0.1,0.02,-0.23,-0.01,0.14,0.1,0.1,0.03,0.17,0.31,0.36,1.0,-0.08,-0.21,-0.34,-0.34,-0.16,0.12,0.2,0.06,-0.07,-0.03,-0.14,0.06,0.04,0.1,-0.15,-0.16,0.08,0.03,-0.16,-0.0,-0.26,0.01,-0.07
awards_received,0.07,0.02,-0.06,0.2,0.17,0.04,-0.02,0.05,0.01,-0.04,-0.11,-0.1,-0.08,1.0,0.1,0.06,0.06,-0.0,-0.05,-0.08,0.08,-0.12,0.05,-0.04,-0.12,-0.04,-0.05,-0.04,0.34,-0.12,0.1,-0.05,0.01,0.07,-0.02,0.08
workload,0.1,0.21,-0.16,0.08,0.08,-0.17,-0.1,-0.17,-0.14,0.02,-0.27,-0.71,-0.21,0.1,1.0,0.8,0.8,0.6,-0.1,-0.12,-0.03,-0.1,-0.03,0.22,-0.12,-0.12,-0.02,0.15,0.14,0.03,0.06,0.5,-0.03,0.63,-0.03,0.34
overtime_hours,0.05,0.1,-0.12,0.1,-0.02,-0.22,-0.1,-0.21,-0.13,0.06,-0.28,-0.91,-0.34,0.06,0.8,1.0,1.0,0.53,-0.1,-0.12,-0.03,-0.04,0.01,0.25,-0.07,-0.08,-0.06,0.19,0.05,0.06,0.16,0.64,-0.02,0.78,-0.02,0.48
average_weekly_hours,0.05,0.1,-0.12,0.1,-0.02,-0.22,-0.1,-0.21,-0.13,0.06,-0.28,-0.91,-0.34,0.06,0.8,1.0,1.0,0.53,-0.1,-0.12,-0.03,-0.04,0.01,0.25,-0.07,-0.08,-0.06,0.19,0.05,0.07,0.16,0.65,-0.02,0.78,-0.01,0.48
client_escalation_count,-0.04,0.22,-0.2,0.02,0.06,-0.14,-0.09,-0.13,-0.16,0.02,-0.16,-0.45,-0.16,-0.0,0.6,0.53,0.53,1.0,-0.07,-0.08,-0.02,-0.06,-0.13,0.29,-0.15,-0.16,-0.13,0.2,0.08,0.06,-0.01,0.28,-0.06,0.37,-0.06,0.17
salary_percentile,-0.03,0.01,-0.13,-0.25,-0.24,-0.16,-0.22,-0.21,-0.28,-0.12,-0.09,0.07,0.12,-0.05,-0.1,-0.1,-0.1,-0.07,1.0,0.82,0.05,0.12,0.09,-0.0,-0.12,-0.12,-0.17,-0.01,0.0,-0.08,-0.09,-0.17,-0.07,-0.21,-0.1,-0.19
compensation_gap,-0.0,0.16,-0.12,-0.26,-0.18,-0.1,-0.11,-0.15,-0.24,-0.18,-0.12,0.08,0.2,-0.08,-0.12,-0.12,-0.12,-0.08,0.82,1.0,0.06,0.2,0.11,-0.08,-0.11,-0.15,-0.12,-0.09,-0.07,-0.07,-0.19,-0.15,-0.11,-0.18,-0.13,-0.14
distance_to_office_km,0.1,-0.06,0.18,0.1,0.06,-0.0,0.12,0.0,-0.07,0.04,0.11,0.07,0.06,0.08,-0.03,-0.03,-0.03,-0.02,0.05,0.06,1.0,0.12,0.11,-0.06,0.18,0.18,0.22,-0.02,0.1,-0.01,0.19,0.06,0.23,0.04,0.19,0.0
work_flexibility_score,-0.12,0.1,-0.19,-0.1,-0.18,-0.2,0.09,-0.25,-0.08,0.09,0.11,0.07,-0.07,-0.12,-0.1,-0.04,-0.04,-0.06,0.12,0.2,0.12,1.0,0.15,-0.05,-0.2,-0.22,-0.18,-0.08,-0.17,-0.25,-0.08,-0.25,-0.29,-0.29,-0.28,-0.19
remote_work_eligibility,0.12,-0.07,-0.1,-0.1,-0.17,-0.02,-0.3,-0.11,-0.1,-0.0,-0.01,-0.01,-0.03,0.05,-0.03,0.01,0.01,-0.13,0.09,0.11,0.11,0.15,1.0,-0.03,-0.17,-0.08,-0.09,-0.02,0.12,-0.14,0.06,-0.03,-0.13,-0.02,-0.14,0.11
skill_criticality_score,0.13,0.22,-0.07,-0.07,-0.12,-0.29,-0.25,-0.25,-0.2,-0.02,-0.09,-0.25,-0.14,-0.04,0.22,0.25,0.25,0.29,-0.0,-0.08,-0.06,-0.05,-0.03,1.0,-0.06,-0.05,-0.07,0.89,-0.09,0.48,0.21,0.12,0.22,0.13,0.23,-0.0
knowledge_risk_score,-0.09,-0.2,0.89,0.25,-0.07,0.09,0.03,0.15,0.15,0.03,-0.02,0.08,0.06,-0.12,-0.12,-0.07,-0.07,-0.15,-0.12,-0.11,0.18,-0.2,-0.17,-0.06,1.0,0.83,0.8,0.01,0.3,0.64,-0.13,0.07,0.77,0.11,0.85,0.18
dependencies,-0.08,-0.22,0.92,0.22,-0.08,0.06,-0.03,0.13,0.05,0.08,0.06,0.05,0.04,-0.04,-0.12,-0.08,-0.08,-0.16,-0.12,-0.15,0.18,-0.22,-0.08,-0.05,0.83,1.0,0.78,0.07,0.32,0.67,-0.05,0.04,0.77,0.1,0.85,0.18
client_criticality,-0.09,-0.11,0.88,0.27,0.07,0.16,0.05,0.24,0.07,-0.0,-0.04,0.04,0.1,-0.05,-0.02,-0.06,-0.06,-0.13,-0.17,-0.12,0.22,-0.18,-0.09,-0.07,0.8,0.78,1.0,0.05,0.32,0.62,-0.18,0.11,0.72,0.14,0.82,0.2
specialised_skills,0.17,0.18,0.04,-0.04,-0.13,-0.29,-0.31,-0.25,-0.23,-0.04,-0.11,-0.2,-0.15,-0.04,0.15,0.19,0.19,0.2,-0.01,-0.09,-0.02,-0.08,-0.02,0.89,0.01,0.07,0.05,1.0,-0.04,0.54,0.14,0.08,0.35,0.1,0.35,0.07
critical_project_owner,-0.14,0.0,0.29,0.29,0.02,0.07,-0.04,0.06,-0.1,-0.11,-0.16,-0.01,-0.16,0.34,0.14,0.05,0.05,0.08,0.0,-0.07,0.1,-0.17,0.12,-0.09,0.3,0.32,0.32,-0.04,1.0,0.2,-0.19,0.08,0.34,0.17,0.35,0.19
replacement_time_months,0.0,-0.05,0.69,0.09,-0.1,-0.04,-0.22,0.0,0.01,0.01,-0.07,-0.08,0.08,-0.12,0.03,0.06,0.07,0.06,-0.08,-0.07,-0.01,-0.25,-0.14,0.48,0.64,0.67,0.62,0.54,0.2,1.0,0.0,0.09,0.73,0.15,0.82,0.18
performance_rating,0.01,-0.06,-0.11,-0.12,-0.01,-0.12,0.02,-0.11,-0.03,0.13,0.02,-0.19,0.03,0.1,0.06,0.16,0.16,-0.01,-0.09,-0.19,0.19,-0.08,0.06,0.21,-0.13,-0.05,-0.18,0.14,-0.19,0.0,1.0,0.12,-0.05,0.08,-0.07,-0.0
attrition_label,0.21,0.01,0.01,0.17,-0.02,0.04,-0.02,0.07,-0.01,-0.24,-0.39,-0.58,-0.16,-0.05,0.5,0.64,0.65,0.28,-0.17,-0.15,0.06,-0.25,-0.03,0.12,0.07,0.04,0.11,0.08,0.08,0.09,0.12,1.0,0.07,0.9,0.1,0.44
impact_label,0.02,-0.16,0.79,0.18,0.0,0.04,-0.1,0.11,0.02,0.01,-0.03,-0.02,-0.0,0.01,-0.03,-0.02,-0.02,-0.06,-0.07,-0.11,0.23,-0.29,-0.13,0.22,0.77,0.77,0.72,0.35,0.34,0.73,-0.05,0.07,1.0,0.14,0.96,0.15
attrition_risk_score,0.16,0.0,0.06,0.21,0.0,0.02,-0.13,0.04,-0.04,-0.26,-0.49,-0.74,-0.26,0.07,0.63,0.78,0.78,0.37,-0.21,-0.18,0.04,-0.29,-0.02,0.13,0.11,0.1,0.14,0.1,0.17,0.15,0.08,0.9,0.14,1.0,0.15,0.56
impact_score,-0.01,-0.15,0.88,0.23,-0.02,0.03,-0.1,0.12,0.01,0.01,-0.05,-0.01,0.01,-0.02,-0.03,-0.02,-0.01,-0.06,-0.1,-0.13,0.19,-0.28,-0.14,0.23,0.85,0.85,0.82,0.35,0.35,0.82,-0.07,0.1,0.96,0.15,1.0,0.18
Keepz,0.06,-0.01,0.15,0.12,-0.14,-0.09,-0.16,-0.09,0.09,-0.1,-0.22,-0.4,-0.07,0.08,0.34,0.48,0.48,0.17,-0.19,-0.14,0.0,-0.19,0.11,-0.0,0.18,0.18,0.2,0.07,0.19,0.18,-0.0,0.44,0.15,0.56,0.18,1.0
